user,image,caption,engagement,labels
aashnashroff_969148_3023371498365946453_18476_66,instagram_dataset/Data/aashnashroff_969148_3023371498365946453_18476_66/2023-01-25_08-06-30_UTC_6.jpg,"@nobudubai brunch day at @atlantistheroyal ☀️

wearing @shivanandnarresh
earrings @shivanandnarresh via @aulerthofficial
bag @chloe
shoes @hermes",66,"['Fashion', 'Dress', 'One-piece garment', 'Day Dress', 'Waist', 'Gown', 'Leisure', 'Model', 'Fashion design', 'Haute couture']"
aashnashroff_969148_3024771186475529463_44978_145,instagram_dataset/Data/aashnashroff_969148_3024771186475529463_44978_145/2023-01-27_06-27-25_UTC_8.jpg,"Everything I am today is all because of you, happy birthday my beautiful maa ❤️ @kiranshyamshroff",145,"['Makeover', 'Earring', 'Model', 'Embellishment', 'Sari', 'Fashion Model']"
aashnashroff_969148_3025072201583526919_16190_51,instagram_dataset/Data/aashnashroff_969148_3025072201583526919_16190_51/2023-01-27_16-25-29_UTC_1.jpg,"ngl I could live in this outfit cause Bombay right now is just 🥶

wearing @lovechoje for the @linglingdubai opening night at @atlantistheroyal ✨",51,"['Fashion', 'Fur clothing', 'Fur', 'Bag', 'Natural material', 'Fashion design', 'Animal product', 'Model', 'Winter', 'Fashion Model']"
aashnashroff_969148_3032929072178325591_6285_29,instagram_dataset/Data/aashnashroff_969148_3032929072178325591_6285_29/2023-02-07_12-35-41_UTC_3.jpg,"A collaboration like no other. What an honour it is to celebrate art with two icons coming together 🖤 #LVxYayoiKusama @louisvuitton

#gifted",29,"['Black hair', 'Lipstick', 'Cosmetics', 'Model', 'Earring', 'Photo shoot']"
aashnashroff_969148_3036670526613713719_90639_219,instagram_dataset/Data/aashnashroff_969148_3036670526613713719_90639_219/2023-02-12_16-29-17_UTC_8.jpg,Celebrating @isha_kapoor20 & @aayushmansinha’s forever ❤️,219,"['Happiness', 'Yellow', 'Smile', 'Facial expression', 'Facial hair', 'Beard', 'Moustache', 'Pleased', 'Tradition', 'Laughter']"
aashnashroff_969148_3042915286672312759_21985_98,instagram_dataset/Data/aashnashroff_969148_3042915286672312759_21985_98/2023-02-21_07-16-31_UTC_1.jpg,"colour and lehenga of my dreams ✨

wearing @vvanivats
necklace @prerto
bag @outhousejewellery",98,"['Sleeve', 'Fashion', 'Beauty', 'Neck', 'Pink', 'Textile', 'Dress', 'Long hair', 'Embroidery', 'Waist']"
aashnashroff_969148_3043609769059702781_22577_103,instagram_dataset/Data/aashnashroff_969148_3043609769059702781_22577_103/2023-02-22_06-16-19_UTC_2.jpg,"little miss 🫒 loves the camera 

I’m wearing @chameeandpalak and @karishma.joolry",103,"['Model', 'Bridal Clothing', 'Fashion Model', 'Gown', 'Photo shoot', 'Haute couture']"
aashnashroff_969148_3043939712020791039_15629_33,instagram_dataset/Data/aashnashroff_969148_3043939712020791039_15629_33/2023-02-22_17-11-52_UTC_6.jpg,"Ciao Milano ✈️ It’s time for Fashion Week!
This season’s gonna be pretty epic, and I can’t wait to take you with me!!⚡️",33,"['Air travel', 'Aircraft', 'Aviation', 'Aerospace Engineering', 'Aerospace manufacturer', 'Flight', 'Fixed-wing aircraft', 'Airliner', 'Airline', 'Public transport']"
aashnashroff_969148_3044546227530370102_12029_59,instagram_dataset/Data/aashnashroff_969148_3044546227530370102_12029_59/2023-02-23_13-16-54_UTC_2.jpg,"A quick look at the coolest kick off to Milan Fashion Week with @diesel, right from our fittings to Glenn Martens’ insane vision for the FW23 show!⚡️

@reliancebrandsltd @kari_raghav",59,"['Sleeve', 'Fashion', 'Beauty', 'Textile', 'Dress', 'Model', 'Waist', 'Fashion Model', 'Knee', 'Photo shoot']"
aashnashroff_969148_3045910643295402562_8977_65,instagram_dataset/Data/aashnashroff_969148_3045910643295402562_8977_65/2023-02-25_10-27-45_UTC_4.jpg,"from yesterday, on my way to @tods 🤍

@reliancebrandsltd

outfit @studiomoonray",65,"['Clothing', 'Sleeve', 'Bag', 'Beauty', 'Fashion', 'Textile', 'Collar', 'Pink', 'Luggage & bags', 'Waist']"
aashnashroff_969148_3046000122345582644_11947_68,instagram_dataset/Data/aashnashroff_969148_3046000122345582644_11947_68/2023-02-25_13-25-32_UTC_3.jpg,"off-duty 🃏

jeans @khhouseofkhaddar
bag @louisvuitton
shoes @chanelofficial",68,"['Fashion', 'Collar', 'Grey', 'Model', 'Photo shoot', 'Fur', 'Overcoat', 'Duster', 'Active Pants', 'Sunglasses']"
aashnashroff_969148_3048148533673183380_9097_42,instagram_dataset/Data/aashnashroff_969148_3048148533673183380_9097_42/2023-02-28_12-34-02_UTC_4.jpg,"It’s @dior day! Stay tuned for the Dior Women AW23 show at 7.30 pm India time on dior.com!🤍

#DiorAW23",42,[]
aashnashroff_969148_3050236941723920563_9906_31,instagram_dataset/Data/aashnashroff_969148_3050236941723920563_9906_31/2023-03-03_09-43-20_UTC_2.jpg,"made it to New York, ready to make some PORE decisions with @benefitindia 🥶💕 @benefitcosmetics

#POREfessional

wearing @hm #HMStudio",31,"['Bag', 'Suitcase', 'Baggage', 'Luggage & bags', 'Hand luggage', 'Pink', 'Backpack', 'Baby transport']"
aashnashroff_969148_3050430461415763750_36078_75,instagram_dataset/Data/aashnashroff_969148_3050430461415763750_36078_75/2023-03-03_16-07-49_UTC_4.jpg,"Painting New York pink with @benefitcosmetics 💕 @benefitindia 
#POREfessional

dress & earrings @hm #HMStudio
jacket @zabellaofficial
bag @benedettabruzziches
shoes @machandmach",75,"['Tableware', 'Drinkware', 'Stemware', 'Barware', 'Glass', 'Champagne glass', 'Wine glass', 'Floristry', 'Flower Arranging', 'Cut flowers']"
aashnashroff_969148_3051890547518827270_19348_45,instagram_dataset/Data/aashnashroff_969148_3051890547518827270_19348_45/2023-03-05_16-28-45_UTC_5.jpg,"If you’re in New York this weekend, there’s a slice of @benefitcosmetics heaven awaiting you at the Pore Wash pop up! Every corner is so cute, and I can’t wait to show you the Pore Care range in detail! It’s launching soon in India on @sephora_india!💕 @benefitindia #POREfessional",45,"['Cosmetics', 'Personal care', 'Bottle', 'Plastic', 'Brush', 'Skin Care', 'Household Supply', 'Hair care', 'Solvent in chemical reactions', 'Mirror']"
aashnashroff_969148_3055213208096997600_14917_134,instagram_dataset/Data/aashnashroff_969148_3055213208096997600_14917_134/2023-03-10_06-30-17_UTC_3.jpg,"Last stop for fashion month has to be my city 🤍

Kicking off @lakmefashionwk with none other than @vaishalisstudio @vaishalishadangule for her beautiful ocean inspired show last night ✨",134,"['Fashion', 'Textile', 'Dress', 'Pink', 'Bridal Clothing', 'Waist', 'Gown', 'Fashion design', 'Haute couture', 'Model']"
aashnashroff_969148_3058383510314678447_304946_502,instagram_dataset/Data/aashnashroff_969148_3058383510314678447_304946_502/2023-03-14_15-29-07_UTC_1.jpg,"Diffused ⚡️

For the @manishmalhotra05 @manishmalhotraworld grand finale!💙",502,"['Sleeve', 'Happiness', 'Fun', 'Smile', 'Love', 'Fashion design', 'Denim', 'Night', 'Hug']"
aashnashroff_969148_3061976659997838774_155162_21,instagram_dataset/Data/aashnashroff_969148_3061976659997838774_155162_21/2023-03-19_14-28-03_UTC.jpg,"You've got to have the right accessories to complete any look! And with the #OPPOFindN2Flip, you can bet your look will make people say, #OhSnap!
The #BestFlipPhone is here, go check it out now! ✨

#ad",21,"['Lips', 'Hand', 'Finger', 'Facial expression', 'Nail', 'Jewellery', 'Tooth', 'Mobile phone', 'Eyelash', 'Telephony']"
aashnashroff_969148_3063253774705845384_7850_48,instagram_dataset/Data/aashnashroff_969148_3063253774705845384_7850_48/2023-03-21_08-45-27_UTC_2.jpg,"from this weekend, celebrating the launch @shantanunikhil’s beautiful new store in Mumbai ✨

wearing @shantanunikhil 
earrings @misho_designs
bag @bulgari",48,"['Shoulder', 'Dress', 'Fashion', 'Formal wear', 'Fashion Model', 'One-piece garment', 'Gown', 'Waist', 'Cocktail dress', 'Day Dress']"
aashnashroff_969148_3069105084839666307_8201_88,instagram_dataset/Data/aashnashroff_969148_3069105084839666307_8201_88/2023-03-29_10-30-58_UTC_5.jpg,me and my new Gucci Girl 🧡 #GucciHorsebit1955 @gucci,88,"['Fashion', 'Textile', 'Costume', 'Fashion Model', 'Fashion design', 'Model', 'Photo shoot', 'Day Dress', 'Costume design', 'One-piece garment']"
ajinkyarahane_4701882_2835876260569960036_116735_220,instagram_dataset/Data/ajinkyarahane_4701882_2835876260569960036_116735_220/2022-05-11_15-26-55_UTC.jpg,Happy moments with my loved ones ❤️,220,"['People', 'Happiness', 'Eye', 'Smile', 'Fun', 'Child', 'Leisure', 'Love', 'Toddler', 'Family']"
ajinkyarahane_4701882_2838497905680009184_54713_255,instagram_dataset/Data/ajinkyarahane_4701882_2838497905680009184_54713_255/2022-05-15_06-15-40_UTC.jpg,"Keeping the dream alive, one game at a time. 💪🏽",255,"['Sports Uniform', 'Bat-and-ball games', 'Cricket', 'Team sport', 'Jersey', 'Cricketer', 'Limited overs cricket', 'Twenty20', 'Cricket Helmet', 'Protective gear in sports']"
ajinkyarahane_4701882_2840601389760485969_107447_251,instagram_dataset/Data/ajinkyarahane_4701882_2840601389760485969_107447_251/2022-05-18_03-54-55_UTC_2.jpg,Thanks @kkriders for your consistent support this season. Wishing the team the absolute best for the coming games! 🤞🏽,251,"['Player', 'Sports Uniform', 'Jersey', 'Team sport', 'Sportswear', 'Sports venue', 'Uniform', 'Team', 'Sports Fan Jersey', 'Active Shorts']"
ajinkyarahane_4701882_2851555600297864759_118611_583,instagram_dataset/Data/ajinkyarahane_4701882_2851555600297864759_118611_583/2022-06-02_06-38-58_UTC_1.jpg,I have studied more these last few years than I did during school! 📕😅,583,"['Leisure', 'Happiness', 'Fun', 'Chair']"
ajinkyarahane_4701882_2879089306214293711_61192_89,instagram_dataset/Data/ajinkyarahane_4701882_2879089306214293711_61192_89/2022-07-10_06-23-32_UTC.jpg,Always a pleasure catching up with Anil Bhai!,89,"['Smile', 'Arm', 'Furniture', 'Mouth', 'Human body', 'Leg', 'Happiness', 'Flooring', 'Floor', 'Sitting']"
ajinkyarahane_4701882_2879983456497842705_38607_71,instagram_dataset/Data/ajinkyarahane_4701882_2879983456497842705_38607_71/2022-07-11_12-00-03_UTC_1.jpg,"The Real 'A' Team! 👊

Ever more grateful for these wonderful bunch of people, who have helped me in my recovery.",71,"['Jersey', 'Smile', 'Active Shirt', 'Sportswear', 'Facial hair', 'Logo', 'Beard', 'Happiness', 'Moustache', 'Polo shirt']"
ajinkyarahane_4701882_2885585639780056385_46632_149,instagram_dataset/Data/ajinkyarahane_4701882_2885585639780056385_46632_149/2022-07-19_05-30-35_UTC.jpg,Aarya's day out! ☃️,149,"['Sleeve', 'Face', 'Nose', 'Outerwear', 'Eye', 'Jacket', 'Child', 'Smile', 'Happiness', 'Toddler']"
ajinkyarahane_4701882_2888038858950029550_148452_794,instagram_dataset/Data/ajinkyarahane_4701882_2888038858950029550_148452_794/2022-07-22_14-44-42_UTC.jpg,October 2022 👶❤️,794,"['People', 'Happiness', 'Smile', 'Child', 'Toddler', 'Comfort', 'Family', 'Fun', 'Love', 'Infant']"
ajinkyarahane_4701882_2911756923601063593_103426_362,instagram_dataset/Data/ajinkyarahane_4701882_2911756923601063593_103426_362/2022-08-24_08-08-15_UTC.jpg,Just testing if Instagram still accepts photos or is it time to learn a few trends 😶,362,"['Facial hair', 'Beard', 'Moustache', 'Nail', 'Flesh']"
ajinkyarahane_4701882_2915362952138174639_119216_127,instagram_dataset/Data/ajinkyarahane_4701882_2915362952138174639_119216_127/2022-08-29_07-32-48_UTC_2.jpg,"Can attest that Sport has the power to change the world, because it certainly changed my life! 

From being an enthusiastic kid dribbling between all sorts of games to playing for India, it’s been a great journey. 

And if on some days I am lucky enough to get some time I still dribble between a few 🤓

#nationalsportsday",127,"['Indoor games and sports', 'Pool', 'Recreation', 'Sports equipment', 'Cue stick', 'Cue sports', 'Billiard table', 'Recreation room', 'Game', 'Sports']"
ajinkyarahane_4701882_2926900825497209903_45120_186,instagram_dataset/Data/ajinkyarahane_4701882_2926900825497209903_45120_186/2022-09-14_05-36-29_UTC.jpg,💭🏏,186,"['Shoulder', 'Facial hair', 'Knee', 'Beard', 'Wrist', 'Elbow', 'Exercise equipment', 'Muscle', 'Physical fitness', 'Exercise']"
ajinkyarahane_4701882_2930007646461513221_106701_110,instagram_dataset/Data/ajinkyarahane_4701882_2930007646461513221_106701_110/2022-09-18_12-29-11_UTC.jpg,"And now tennis won’t be the same without you… A true legend of the game, Thank you for giving us so much joy every time you stepped out to play! #RF

Wishing you all my love and happiness for this new start! 🙏",110,"['Hair', 'Chin', 'Head', 'Eyebrow', 'Forehead', 'Smile', 'Jaw', 'Facial hair', 'Happiness', 'Facial expression']"
ajinkyarahane_4701882_2934947913534836232_102707_220,instagram_dataset/Data/ajinkyarahane_4701882_2934947913534836232_102707_220/2022-09-25_08-04-37_UTC.jpg,"What a pleasure it has been to lead the West Zone to a brilliant series win 🏆 🙏

#duleeptrophy",220,"['Uniform', 'Test cricket', 'Cricketer', 'Cricket', 'Bat-and-ball games', 'Cricket cap', 'Sports venue']"
ajinkyarahane_4701882_2935622903699848472_116005_368,instagram_dataset/Data/ajinkyarahane_4701882_2935622903699848472_116005_368/2022-09-26_06-25-42_UTC.jpg,Happy Anniversary my 🌍,368,"['Smile', 'Happiness', 'Facial expression', 'Love', 'Facial hair', 'Beard', 'Selfie', 'Car door', 'Family car', 'Honeymoon']"
ajinkyarahane_4701882_2942299161976849747_123531_1674,instagram_dataset/Data/ajinkyarahane_4701882_2942299161976849747_123531_1674/2022-10-05_11-30-14_UTC.jpg,🙏,1674,['Text']
ajinkyarahane_4701882_2949544562719060938_69178_74,instagram_dataset/Data/ajinkyarahane_4701882_2949544562719060938_69178_74/2022-10-15_11-25-33_UTC.jpg,"Mum-bhais! 🤙 
#syedmushtaqalitrophy",74,"['Smile', 'Jersey', 'Team', 'Fun', 'Logo', 'Facial hair', 'Beard', 'Cricketer', 'Active Shirt', 'Happiness']"
ajinkyarahane_4701882_2956173365432025981_327651_638,instagram_dataset/Data/ajinkyarahane_4701882_2956173365432025981_327651_638/2022-10-24_14-55-48_UTC.jpg,Our first Diwali with this little one 🪔🪔💕 Happy Diwali to you all!!,638,"['People', 'Happiness', 'Smile', 'Facial expression', 'Child', 'Fun', 'Toddler', 'Love', 'Family', 'Family pictures']"
ajinkyarahane_4701882_2964894065923943749_239277_431,instagram_dataset/Data/ajinkyarahane_4701882_2964894065923943749_239277_431/2022-11-05_15-42-16_UTC_1.jpg,💙🏆,431,"['Trophy', 'Hat', 'Award', 'Smile', 'Cap', 'Logo', 'Sports', 'Cricket', 'Baseball cap', 'Bat-and-ball games']"
ajinkyarahane_4701882_2974219683972612177_68182_136,instagram_dataset/Data/ajinkyarahane_4701882_2974219683972612177_68182_136/2022-11-18_12-30-37_UTC.jpg,Reminiscing the good ol’ days! #tb,136,"['Sleeve', 'Facial expression', 'Martial Arts Uniform', 'Child', 'Martial arts', 'Karate', 'Dobok', 'Gesture', 'Happiness', 'Combat sport']"
ajinkyarahane_4701882_2976414959365375674_56866_134,instagram_dataset/Data/ajinkyarahane_4701882_2976414959365375674_56866_134/2022-11-21_13-12-14_UTC.jpg,Eat your greens around the greens 🥬🌲,134,"['Food', 'Beard', 'Facial hair', 'Cap', 'Recipe', 'Cooking', 'Comfort food', 'Produce', 'Dishware', 'Vegetable']"
ajinkyarahane_4701882_2982886863247728429_95689_133,instagram_dataset/Data/ajinkyarahane_4701882_2982886863247728429_95689_133/2022-11-30_11-30-45_UTC.jpg,"Our experience with Reelabs has been extremely pleasing.

To give you a gist of what ReeLabs is, It is for starters the only bank in the country that has the permission to preserve Placental Stem Cells. 

The Placental Stem Cells are the richest source of stem cells and should the need arise they can help the baby in future for medical procedures. 

ReeLabs is based in Mumbai and is headed by professional doctors and scientists from India and Ukraine! 

It has been a great journey for us with @reelabs",133,"['Happiness', 'Shoulder', 'T-shirt', 'Black hair', 'Facial expression', 'Smile', 'Facial hair', 'Active Shirt', 'Beard', 'Fashion design']"
ajinkyarahane_4701882_2988005706917160589_36554_479,instagram_dataset/Data/ajinkyarahane_4701882_2988005706917160589_36554_479/2022-12-07_13-00-59_UTC.jpg,"Got some time before 🏏 wondering if you’ve got some questions for me? 

If you do, drop them below and I’ll make sure to answer some of them soon! #AskJinks",479,"['Sleeve', 'Facial hair', 'Beard', 'Active Shirt', 'Moustache', 'Long-sleeved T-shirt']"
ajinkyarahane_4701882_3005927241398793249_92060_206,instagram_dataset/Data/ajinkyarahane_4701882_3005927241398793249_92060_206/2023-01-01_06-27-52_UTC.jpg,Starting the new year with my ❤️ #2023,206,"['People', 'Happiness', 'Temple', 'Eye', 'Smile', 'Child', 'Family', 'Toddler', 'Family pictures', 'Love']"
ajinkyarahane_4701882_3021327300873402813_101738_173,instagram_dataset/Data/ajinkyarahane_4701882_3021327300873402813_101738_173/2023-01-22_12-25-00_UTC.jpg,Buddies for life 💛,173,"['Head', 'Baby & Toddler Clothing', 'Face', 'Nose', 'Hand', 'Human body', 'Finger', 'Happiness', 'Child', 'Infant']"
ajinkyarahane_4701882_3036569544968699529_179534_214,instagram_dataset/Data/ajinkyarahane_4701882_3036569544968699529_179534_214/2023-02-12_13-08-39_UTC_1.jpg,"Kids and sports , my favourite  combo 🫶",214,"['People', 'Clothing', 'Hair', 'Eyewear', 'Head', 'Happiness', 'Face', 'Nose', 'Glasses', 'Hand']"
ajinkyarahane_4701882_3047246109589092707_540969_474,instagram_dataset/Data/ajinkyarahane_4701882_3047246109589092707_540969_474/2023-02-27_06-41-05_UTC_2.jpg,Farm visits are always peaceful and rejuvenating!,474,"['People in nature', 'Recreation', 'Soil', 'Agriculture', 'Goggles', 'Sunglasses', 'Plantation', 'Vacation', 'Walking Shoe', 'Farm']"
ajinkyarahane_4701882_3049610776982350293_87180_352,instagram_dataset/Data/ajinkyarahane_4701882_3049610776982350293_87180_352/2023-03-02_12-59-15_UTC.jpg,Vanakkam Chennai 💛,352,['Advertising']
ajinkyarahane_4701882_3051581014326127330_293067_455,instagram_dataset/Data/ajinkyarahane_4701882_3051581014326127330_293067_455/2023-03-05_06-13-46_UTC.jpg,After a good session at the nets!,455,"['Sports Uniform', 'Team sport', 'Player', 'Protective gear in sports', 'Jersey', 'Bat-and-ball games', 'Cricketer', 'Cricket', 'Headgear', 'Helmet']"
ajinkyarahane_4701882_3066109821104047365_3342_5,instagram_dataset/Data/ajinkyarahane_4701882_3066109821104047365_3342_5/2023-03-25_07-19-55_UTC.jpg,"Ab khelo jee bhar ke with Hudle! Get upto 50% off on select venues across Mumbai. Book your game now! Check the link in bio.
.
.
.
#hudle #hudleup #MSF #mumbai #thane #navimumbai #badminton #boxcricket #football",5,"['Advertising', 'Football', 'Logo', 'Football player', 'Poster', 'Ball', 'Football', 'Graphic design', 'Soccer player', 'Publication']"
ajinkyarahane_4701882_3066818523272553784_96814_337,instagram_dataset/Data/ajinkyarahane_4701882_3066818523272553784_96814_337/2023-03-26_06-47-59_UTC_2.jpg,"Vibe वही, बात नयी!",337,"['Sports Uniform', 'Team sport', 'Bat-and-ball games', 'Player', 'Cricket', 'Cricketer', 'Sports venue', 'Jersey', 'Ball game', 'Cricket bat']"
akanksharedhu_166654_2998315878906462550_-1_12,instagram_dataset/Data/akanksharedhu_166654_2998315878906462550_-1_12/2022-12-21_18-25-27_UTC_1.jpg,"Blimey good time tasting #JamesonBlackBarrel for the first time tonight with fab company, food, views and live music ❤️
@jameson_alwaysintomixin 
(But the biggest takeaway from the night was learning the fact that Mr. Jameson had 16 kids with the same wife. Nick Cannon ain't got nothin on him)
Thank you @vazookaa @happy_bartender & @theideaslabmag for the gorg winter evening
.
.
#RedhuCheers #RedhuxJameson
#jameson #jamesonwhiskey  #whiskylover #drinkstagram #whiskygram #whiskylife #whiskylove #whiskylovers  #dramsofindia #womenwhowhisky #whiskycocktail #weekendwhisky 
@pernodricardindia 
*Please drink responsibly",12,"['Smile', 'Facial expression', 'Fun', 'Alcoholic drink', 'Liquor', 'Alcohol', 'Barware', 'Drinking establishment', 'Bar', 'Night']"
akanksharedhu_166654_3000111759975004387_-1_27,instagram_dataset/Data/akanksharedhu_166654_3000111759975004387_-1_27/2022-12-24_05-53-33_UTC.jpg,"Ain’t nothing like an uber cool pair of sunglasses from @vogueeyewear. Buy them now on @nykaafashion and amp up your style quotient.
#letsvogue #NykaaFashion 
.
.
#ad #RedhuxVogueEyewear #sunglasses #sunglasseslover #sunglassesstyle #sunglasses😎 #sunnies #vogueeyewear #invogueeyewear #RedhuxNykaa",27,"['Eyewear', 'Glasses', 'Vision Care', 'Sunglasses', 'Lips', 'Hairstyle', 'Fashion', 'Goggles', 'Beauty', 'Black hair']"
akanksharedhu_166654_3000988352061777482_-1_15,instagram_dataset/Data/akanksharedhu_166654_3000988352061777482_-1_15/2022-12-25_10-55-11_UTC_2.jpg,"A sexy, safe & cosy Christmas to everyone ❤️ May you find joy even if you think it's the smallest one you can think of and be grateful for it :)
And if you can't find any, may you have the courage to sit without it and know that change is the only constant.
Wearing my bad b**ch set from @raffine.in
.
.
#akanksharedhu #ootd #lotd #wiw #indianfashionblogger #indianblogger #Fashionblogger #Delhiblogger #styleinspo #styleinspiration #styleinfluencer #bloggerstyle #RedhuxIndieDesign  #RedhuxRaffine #raffiné #christmasspirit",15,"['Fashion', 'Collar', 'Waist', 'Knee', 'Foot', 'Ankle', 'Photo shoot', 'Model', 'Pattern', 'Fashion Model']"
akanksharedhu_166654_3002424307143500809_-1_13,instagram_dataset/Data/akanksharedhu_166654_3002424307143500809_-1_13/2022-12-27_10-28-10_UTC_6.jpg,"Back at one of my faves - @bougiedelhi to try out their fresh new menu. Sigh. So much pretty, even more tasty 🐒
My faves were (in order shown): Avocado 🥑 tartare (so fresh, so light, melt-in-mouth), Chicken satay (juicy, perfect and frankly the best satay I've had in a while), pork belly and the caramel-hazelnut sourdough French Toast, most of which i inhaled single handedly 🐐
Not sure why i tried to fit that pose in the last slide because my belly was bursting at the end but well here we all are :)
.
.
#RedhuEats
#akanksharedhu #nomnomnom #foodie #foodstagram #foodphotographer #foodporn #foodgasm #foodguide #indianblogger #Delhiblogger #delhirestaurants #bougiedelhi  #mehrauli",13,"['Furniture', 'Table', 'Chair', 'Restaurant', 'Kitchen & Dining Room Table', 'Natural material', 'Linens', 'Wood stain', 'Shade', 'Coffee table']"
akanksharedhu_166654_3005514870186828297_-1_15,instagram_dataset/Data/akanksharedhu_166654_3005514870186828297_-1_15/2022-12-31_16-48-34_UTC_6.jpg,"Happy New Year folks. Nothing better than the winter sun, drying your hair in the winter sun, having a beer with the mom & pops in the winter sun and some winter cuddles.
Hope everyone gets to live a little bit more in love in the coming year. It really is nice :)
(she types as she waits to escape the winter soon)",15,"['Grass', 'Plants', 'Recreation', 'Leisure', 'Shrub', 'Garden', 'Spring', 'People in nature', 'Groundcover', 'Vacation']"
